Echantillon;Meme echantilon qui recolte 2009/2010;Ville;Recolte;Cultivar;Age;Espacement.m;Aplicacion PBZ.ml do p.a./plante;SPAD_m;Irrigation.I-NI;rdt.kg/Plante;sol.pH.cacl2;sol.M.O.g/dm3;sol.P.mg/dm3;sol.K.mmolc/dm3;sol.Ca.mmolc/dm3;sol.Mg.mmolc/dm3;sol.H+Almmolc/dm3;sol.SB.mmolc/dm3;sol.T.mmolc/dm3;sol.V.perc;sol.B.mg/dm3;sol.Cu.mg/dm3;sol.Fe.mg/dm3;sol.Mn.mg/dm3;sol.Zn.mg/dm3;sol.S-S04.mg/dm3;sol.Al.mmolc/dm3;fol.N.g/kg;fol.P.g/kg;fol.K.g/kg;fol.Ca.g/kg;fol.Mg.g/kg;fol.S.g/kg;fol.B.mg/kg;fol.Cu.mg/kg;fol.Fe.mg/kg;fol.Mn.mg/kg;fol.Zn.mg/kg
185;63;Taquaritinga;2010/2011;Tommy;2002;10 x 3,5;4.5;46.7;NI;197.2;5.4;12;98;3.7;38;18;16;59.7;75.7;79;3.03;15.4;18;18.9;2.6;27;0;12.8;0.9;8.1;19.4;2.2;1.6;50;94;68;413;30
186;64;Taquaritinga;2010/2011;Tommy;2002;10 x 6;5;45.3;NI;185.4;5.7;10;76;3.9;41;17;14;61.9;75.9;82;2.4;13.4;15;17.9;1.4;21;0;13.5;0.9;7.4;18.3;2.1;1.7;43;107;87;598;28
7;;Pirangi;2009/2010;Palmer;2000;8 x 5;1.8;58.1;NI;182.8;5.5;15;12;1;17;7;16;25;41;61;0.06;6;17;22;1.2;1;0;16.5;1;9.7;18.3;2.5;1.3;41;12;43;404;11
142;85;Vista Alegre do Alto;2010/2011;Palmer;1997;7 x 5;2.7;53.2;NI;172.6;5.6;12;44;1.7;29;16;15;46.7;61.7;76;0.22;8.2;11;7.7;1;2;0;13.9;0.9;10;26.2;1.9;1.7;24;13;97;373;20
208;35;Fernando Prestes;2010/2011;Palmer;2000;8 x 6;2;49.5;NI;171.7;5;12;7;1.5;16;7;18;24.5;42.5;58;0.19;7.8;12;14.7;0.5;1;0;12.8;0.8;10.9;19.6;2.1;1.6;27;107;99;349;14
183;61;Taquaritinga;2010/2011;Tommy;1983;12 x 10;5.25;46.2;NI;171.5;6;14;25;2;35;11;13;48;61;79;0.2;4.8;24;17;1.5;20;0;12.4;0.9;8.6;19.2;1.7;1.4;32;90;64;280;16
141;84;Vista Alegre do Alto;2010/2011;Palmer;1999;7 x 5;3.6;50.7;NI;163.7;5.6;17;45;3.3;40;18;22;61.3;83.3;74;0.24;10.4;22;5.6;1.4;1;0;12.8;1.2;12.5;17.6;1.8;1.5;30;13;40;276;38
140;83;Vista Alegre do Alto;2010/2011;Palmer;1999;7 x 5;3.6;48.6;NI;160.8;4.8;12;28;3.4;24;9;31;36.4;67.4;54;0.26;3;19;5.4;0.4;1;1;13.4;1.1;11.6;16.9;1.8;1.6;25;11;45;330;39
207;33;Fernando Prestes;2010/2011;Palmer;2000;8 x 6;2;49;NI;159.1;5.1;10;7;1.3;15;6;15;22.3;37.3;60;0.19;6;12;15.4;0.4;1;0;11.3;0.9;11.8;22.1;1.9;1.5;30;34;94;563;21
182;58;Taquaritinga;2010/2011;Palmer;1993;8 x 6;5;57;NI;155.1;5.6;11;87;3.5;38;17;14;58.5;72.5;81;1.96;10.2;17;20.4;2.9;82;0;17.2;1.1;10.1;19.4;2.2;1.7;50;111;74;421;22
196;25;Fernando Prestes;2010/2011;Tommy;2003;8 x 6;2.5;46.4;NI;153;5;12;7;1;18;10;22;29;51;57;0.19;2.2;19;15.4;0.5;1;0;11;0.8;7.6;19.2;2.1;1;20;6;48;302;15
23;;Pirangi;2009/2010;Palmer;2000;8 x 6;1.8;55.7;NI;152.8;5.4;15;38;2;15;5;18;22;40;55;0.11;4;20;22;1.8;1;0;14;0.8;8.9;14.5;2;1.2;18;24;61;619;11
143;86;Vista Alegre do Alto;2010/2011;Palmer;1995;7 x 5;2.7;54.8;NI;152.1;5.4;10;35;2.2;26;9;18;37.2;55.2;67;0.18;15.4;13;9.1;2.2;1;0;15.3;0.9;9.3;20.4;1.6;1.4;25;14;76;617;50
179;56;Taquaritinga;2010/2011;Palmer;1995;8 X 4;3.37;59.8;NI;149.6;5.6;9;116;3.5;33;22;13;58.5;71.5;82;1.07;10.5;20;16.8;2.8;36;0;17.2;1.1;11.1;17.9;2;1.7;60;30;95;515;45
195;24;Fernando Prestes;2010/2011;Tommy;2003;8 x 6;2.5;43.2;NI;148;5.3;11;10;1.6;26;12;22;39.6;61.6;64;0.2;1.9;14;17.5;0.4;1;0;10.6;0.7;8;24.3;1.9;1;28;7;33;315;16
181;59;Taquaritinga;2010/2011;Palmer;1993;8 x 6;5;54.1;NI;147.8;5.6;12;90;3.8;40;16;16;59.8;75.8;79;2.09;16.1;19;19.6;3.6;96;0;15.7;1;9.1;16.7;2;1.4;41;47;55;359;23
209;37;Fernando Prestes;2010/2011;Palmer;2003;8 x 5;2;54.1;NI;145.2;5;12;8;2.2;15;6;20;23.2;43.2;54;0.18;3.7;16;13.3;0.5;1;0;14.6;0.7;8.9;22.1;2;1.3;24;35;61;544;14
104;;Vista Alegre do Alto;2009/2010;Tommy;2002;8 x 6;5;48.5;NI;139.6;5.5;15;12;3.1;18;5;13;26.1;39.1;67;0.21;5.6;13;7.7;0.7;1;0;12.3;1.8;9;20.3;1.5;1.2;26;13;60;509;22
18;;Pirangi;2009/2010;Palmer;2002;7 x 5;1.8;56.8;NI;135.5;5.3;15;8;1.9;14;5;18;20.9;38.9;54;0.08;3.8;20;22;1;2;0;14;0.9;8.3;21.3;1.9;1.4;18;16;60;544;14
172;129;Monte Alto;2010/2011;Palmer;1996;9 x 4;3.75;48.1;NI;135.5;5.3;15;34;3.1;38;14;20;55.1;75.1;73;0.2;37.1;22;16.8;1.5;3;0;12;1.1;10.1;19.6;2;1.2;32;15;73;240;16
206;32;Fernando Prestes;2010/2011;Tommy;2001;8 x 6;0;47.3;NI;128.5;5;10;6;1.1;14;5;15;20.1;35.1;57;0.17;2.2;8;14;0.4;1;0;12.8;0.7;6.8;23.7;2.1;1.3;24;36;68;686;16
169;124;Monte Alto;2010/2011;Palmer;1997;9 x 4;3.75;54.4;NI;128.2;5.2;14;14;3.5;25;13;25;41.5;66.5;62;0.31;25.9;22;14;1;2;0;14.2;1;9;18.7;2.5;1.2;24;16;99;590;17
146;89;Vista Alegre do Alto;2010/2011;Palmer;1998;7,5 x 6;3.6;55.5;NI;127.3;5.7;11;47;2.4;34;11;15;47.4;62.4;76;0.22;7.7;11;8.4;1.3;2;0;14.2;1.1;10.5;25.3;2.1;1.7;16;10;64;555;17
165;;Vista Alegre do Alto;2010/2011;Tommy;1997;8 x 6;5;47.6;NI;125;5.4;14;10;1.7;28;12;20;41.7;61.7;68;0.17;7.1;12;9.8;0.5;1;0;11;0.8;8.6;22;1.9;1.2;17;9;68;341;26
173;130;Monte Alto;2010/2011;Tommy;1994;9 x 4;3.75;43;NI;124.6;5.6;15;23;2.2;36;12;18;50.2;68.2;74;0.21;20.3;16;17.5;1.5;3;0;11.3;1;7.7;21.1;2.2;1.1;23;11;114;379;24
205;31;Fernando Prestes;2010/2011;Palmer;1998;7 x 6;3.75;48.6;NI;123;5.5;12;112;1.1;33;8;13;42.1;55.1;76;0.25;39.9;12;7.7;2.1;2;0;11.7;0.7;7.4;22.5;1.8;1.2;24;18;138;340;16
175;131;Monte Alto;2010/2011;Tommy;1994;9 x 4;3.75;46.6;NI;122.9;5.3;14;16;2.9;34;13;22;49.9;71.9;69;0.21;11.2;17;13.3;1;2;0;11.3;1.2;7.8;22.2;1.8;1.1;29;15;82;298;28
160;103;Vista Alegre do Alto;2010/2011;Tommy;1997;8 x 6;5;46.5;NI;120;5.5;14;26;1.5;29;6;18;36.5;54.5;67;0.11;3.1;21;9.1;0.6;2;0;11;1.1;7.2;25.5;1.6;1.2;27;14;53;494;18
210;34;Fernando Prestes;2010/2011;Tommy;2002;8 x 5;3.75;46.5;NI;120;5.1;10;28;1.6;18;6;20;25.6;45.6;56;0.19;1.3;14;9.1;0.5;1;0;11;0.7;8.2;21.8;1.6;1.1;20;7;89;355;16
9;;Pirangi;2009/2010;Palmer;2000;8 x 6;3;51.7;NI;116.7;4.9;18;4;1.7;9;3;24;13.7;37.7;36;0.07;4.8;23;22;0.4;2;1;13.3;0.7;9.1;15.8;2.1;1.2;23;21;53;491;16
189;71;Taquaritinga;2010/2011;Palmer;1999;8 x 4;2.63;51.8;NI;115.5;5.3;7;34;2.5;22;17;18;41.5;59.5;70;1.7;6;11;13.3;0.7;62;0;13.5;0.6;9.3;17.9;2;0.9;26;17;44;742;13
25;;Monte Alto;2009/2010;Tommy;2004;8 x 6;2.5;49;NI;115;5.6;18;8;1.7;21;7;18;29.7;47.7;62;0.08;2.4;25;24;1;1;0;11.6;1.1;8;23.7;1.6;1.5;31;10;46;384;30
161;;Vista Alegre do Alto;2010/2011;Tommy;1997;8 x 6;5;47.5;NI;115;5.4;14;12;2.5;25;10;16;37.5;53.5;70;0.15;4.9;18;6.3;0.7;2;0;11.3;1;8.6;21.9;1.8;2.1;19;9;42;379;16
170;125;Monte Alto;2010/2011;Tommy;1997;9 x 4;3.75;44.9;NI;114.6;5;9;20;1.5;18;6;20;25.5;45.5;56;0.2;16.8;36;3.5;1.1;4;0;12;1.3;8;23.3;2.2;1.2;30;18;65;427;19
138;;Vista Alegre do Alto;2010/2011;Palmer;2000;8 x 6;3.75;54.7;NI;113.2;5.8;13;7;1.4;18;9;14;28.4;42.4;67;0.5;4.8;7;9;3.4;4;0;14.2;0.6;8.7;15.1;1.7;1.1;17;24;45;867;13
24;;Monte Alto;2009/2010;Tommy;2004;8 x 6;2.5;49.1;NI;113;5.6;18;10;1.6;22;8;18;31.6;49.6;64;0.08;2.4;30;24;1;2;0;12.6;1.2;8.9;22.6;1.6;1.5;31;8;49;415;29
105;;Vista Alegre do Alto;2009/2010;Tommy;2001;8 x 6;5;51;NI;112.9;5.5;19;15;2.7;22;6;21;30.7;51.7;59;0.07;8.6;29;18.4;1.8;2;0;13.3;1.7;9.1;20.5;1.5;1.4;25;15;59;453;23
197;27;Fernando Prestes;2010/2011;Palmer;2001;8 x 6;4;53.2;NI;112.1;4.9;10;9;1.5;13;6;25;20.5;45.5;45;0.18;4.5;14;9.1;0.2;1;1;12.4;0.8;10.4;18.4;2.2;0.8;24;6;32;508;14
199;26;Fernando Prestes;2010/2011;Palmer;2004;8 x 6;5;50.2;NI;111.1;4.5;11;22;2.9;8;4;31;14.9;45.9;32;0.2;0.9;34;4.9;0.4;1;3;13.9;0.6;9.5;13.5;2;1;16;7;61;388;12
166;108;Vista Alegre do Alto;2010/2011;Palmer;1997;8 x 6;5;53;NI;110;5;14;14;1.2;19;6;25;26.2;51.2;51;0.19;16.8;22;8.4;1.3;1;0;12.8;0.9;9.4;22.6;1.9;1.3;22;28;74;457;19
167;;Vista Alegre do Alto;2010/2011;Palmer;1997;8 x 6;5;50.5;NI;110;5.1;14;10;1.2;22;6;25;29.2;54.2;54;0.2;15.4;23;9.1;0.8;1;0;11.7;0.9;9.9;20.2;1.7;1.2;23;18;132;334;21
125;;Monte Alto;2009/2010;Tommy;1997;10 x 4;2.5;46.9;NI;110;6.1;24;24;2;33;8;16;43;59;73;0.12;18;19;20;3.8;1;0;13.3;1.3;8.3;24.3;2.4;1.3;32;21;40;338;29
119;;Fernando Prestes;2009/2010;Tommy;1995;7 x 9;0;47.6;NI;108;6;16;48;1.4;26;9;13;36.4;49.4;74;0.08;13;14;18;4.4;1;0;13;1.1;7.8;15.4;1.7;1.6;23;20;51;442;49
171;;Monte Alto;2010/2011;Tommy;1997;9 x 4;3.75;47.5;NI;108;5.5;11;40;1.8;33;9;18;43.8;61.8;71;0.21;18.9;13;7.7;1.5;2;0;12.8;1;7.3;24;2.3;1.2;29;37;60;530;22
168;123;Monte Alto;2010/2011;Palmer;2001;9 x 4;3.75;50.3;NI;107.7;5.2;10;16;3.7;22;13;20;38.7;58.7;66;0.19;6.7;16;5.6;0.5;2;0;13.5;0.8;9.8;19;2;1.1;25;30;88;461;13
193;78;Taquaritinga;2010/2011;Tommy;1999;8 x 4;4.5;44.3;NI;105.9;5.5;6;171;3.6;35;25;12;63.6;75.6;84;2.17;6.3;9;14;0.9;21;0;8.4;0.7;8.4;23.1;2.4;1.4;64;24;43;897;18
62;;Taquaritinga;2009/2010;Tommy;2002;9 x 3,5;3;57;NI;105.7;5.9;16;48;2.2;26;10;17;38.2;55.2;69;0.22;6.2;20;22;1.2;1;0;14.4;1;8.3;20.6;1.7;2;43;90;62;598;42
20;;Pirangi;2009/2010;Tommy;2003;7 x 5;0;53.4;NI;101;4.7;15;12;1.9;8;3;21;12.9;33.9;38;0.16;1.4;36;14.6;1;1;3;11.9;0.9;6.6;20.6;1.7;1.3;16;5;57;1462;15
162;104;Vista Alegre do Alto;2010/2011;Tommy;2000;8 x 6;5;48.1;NI;100;5.4;12;19;1.8;24;9;18;34.8;52.8;66;0.15;5;11;4.9;0.8;3;0;10.6;1.2;8.4;26.4;1.4;1.2;28;13;45;551;18
164;;Vista Alegre do Alto;2010/2011;Tommy;2000;8 x 6;5;46.7;NI;100;5.5;13;16;2.1;27;9;18;38.1;56.1;68;0.23;5.9;18;9.1;0.5;1;0;11.3;0.8;8.2;23.4;1.7;1;22;9;43;432;16
212;109;Vista Alegre do Alto;2010/2011;Tommy;2003;8 x 6;0;51.3;NI;100;5;12;7;2.1;18;9;25;29.1;54.1;54;0.22;2.2;26;8.4;0.3;1;0;13.1;1;10.6;17.4;1.9;1.4;24;31;44;408;32
213;137;Vista Alegre do Alto;2010/2011;Palmer;2003;8 x 6;0;54.5;NI;100;5.3;13;3;3;20;13;25;36;61;59;0.18;1.2;12;6.3;0.1;2;0;16.4;0.9;7.6;16.4;2;1.4;16;39;72;519;28
180;57;Taquaritinga;2010/2011;Palmer;1996;7 x 4;4;55.3;NI;99.4;5.5;12;53;3.8;27;20;18;50.8;68.8;74;2.62;9.1;27;18.9;2.4;43;0;16.8;0.9;10.1;18.2;1.9;1.4;38;29;42;580;16
174;;Monte Alto;2010/2011;Tommy;1994;9 x 4;3.75;43;NI;99.1;5.4;17;46;3.7;39;13;22;55.7;77.7;72;0.36;19.6;25;8.4;1.5;3;0;11.7;1.4;7.9;24.3;2.3;1.2;35;12;178;341;33
201;39;Fernando Prestes;2010/2011;Palmer;2003;7 x 5;4;48.7;NI;98.1;4.8;12;7;1.2;16;7;28;24.2;52.2;46;0.16;18.2;16;11.9;0.4;2;1;11;0.6;9.7;20.9;2.2;0.8;42;11;57;402;31
130;;Monte Alto;2009/2010;Tommy;1994;7 x 5;2.5;46.5;NI;98.1;5.8;17;26;2.3;25;9;15;36.3;51.3;71;0.2;16.8;34;17;2.8;2;0;10.5;1.2;8;23;2;1.1;27;34;57;463;26
192;76;Taquaritinga;2010/2011;Tommy;1999;8 x 4;3.5;46.5;NI;97.7;5.2;7;24;2.5;20;8;16;30.5;46.5;66;1.47;3.6;12;17.5;0.5;40;0;11.3;1.1;7.5;18.4;2.2;1.6;56;10;42;532;15
163;;Vista Alegre do Alto;2010/2011;Tommy;2000;8 x 6;5;47.8;NI;95;5.2;16;10;2.3;27;10;25;39.3;64.3;61;0.16;7.6;16;9.8;0.6;1;0;11;1.1;8.9;21.9;1.6;1.3;24;10;52;474;17
214;110;Vista Alegre do Alto;2010/2011;Palmer;2003;8 x 6;0;52.3;NI;95;5.2;11;6;2.1;18;7;18;27.1;45.1;60;0.15;2.4;15;8.4;0.3;1;0;13.9;0.7;6.5;19.3;1.9;0.8;19;6;77;421;96
55;;Fernando Prestes;2009/2010;Palmer;2004;9 x 8;2.5;58.2;NI;95;5.6;9;20;1.5;15;5;16;21.5;37.5;57;0.1;3.8;18;12.2;1;1;0;17.2;1;10;19.2;2.2;1.2;23;6;69;1008;13
88;;Vista Alegre do Alto;2009/2010;Palmer;2002;7 x 5;2;59.5;NI;94.5;5.6;15;29;2.9;20;7;19;29.9;48.9;61;0.13;6.2;21;22;1.2;1;0;15.1;1.1;13.9;16.2;1.6;1.5;16;9;81;506;45
