Echantillon;Meme echantilon qui recolte 2009/2010;Ville;Recolte;Cultivar;Age;Espacement.m;Aplicacion PBZ.ml do p.a./plante;SPAD_m;Irrigation.I-NI;rdt.kg/Plante;sol.pH.cacl2;sol.M.O.g/dm3;sol.P.mg/dm3;sol.K.mmolc/dm3;sol.Ca.mmolc/dm3;sol.Mg.mmolc/dm3;sol.H+Almmolc/dm3;sol.SB.mmolc/dm3;sol.T.mmolc/dm3;sol.V.perc;sol.B.mg/dm3;sol.Cu.mg/dm3;sol.Fe.mg/dm3;sol.Mn.mg/dm3;sol.Zn.mg/dm3;sol.S-S04.mg/dm3;sol.Al.mmolc/dm3;fol.N.g/kg;fol.P.g/kg;fol.K.g/kg;fol.Ca.g/kg;fol.Mg.g/kg;fol.S.g/kg;fol.B.mg/kg;fol.Cu.mg/kg;fol.Fe.mg/kg;fol.Mn.mg/kg;fol.Zn.mg/kg
106;;Vista Alegre do Alto;2009/2010;Palmer;2004;8 x 6;5;51.3;NI;62.9;5.3;16;14;2;18;6;21;26;47;55;0.06;16;29;18;1.8;1;0;10.9;1.4;11.8;26.4;1.8;1.3;30;12;45;550;19
46;;Fernando Prestes;2009/2010;Tommy;2004;8 x 5;2.5;51.9;NI;61;6;12;12;1.3;21;12;15;34.3;49.3;70;0.11;1;18;15.6;0.4;1;0;14.4;0.9;7.3;18.6;1.8;1.8;20;26;80;570;20
115;;Fernando Prestes;2009/2010;Tommy;2005;8 x 6;1.75;53.8;NI;60.3;5.7;20;7;2.2;18;9;18;29.2;47.2;62;0.14;1.4;37;17.4;1;1;0;13.5;1.3;11.4;20.9;2.7;1.8;33;17;52;426;22
36;;Fernando Prestes;2009/2010;Espada;2003;8 x 5;2;55.4;NI;60;5.6;12;18;2.7;20;5;18;27.7;45.7;61;0.14;2.4;19;22;1;1;0;15.4;1;7;18.1;1.7;1.4;23;20;57;161;13
112;;Fernando Prestes;2009/2010;Tommy;1999;10 x 8;2;45.1;NI;60;5.4;16;4;2;15;5;18;22;40;55;0.06;1;30;20;1;1;0;9.8;0.8;7.7;17.1;1.9;1.1;24;9;53;774;17
93;;Vista Alegre do Alto;2009/2010;Tommy;2001;7 x 5;4.25;51.2;NI;59.6;4.6;18;4;1.9;15;4;31;20.9;51.9;40;0.1;6.2;28;22;0.4;1;4;12.3;0.8;8.2;23.1;1.3;1.6;31;12;57;614;19
144;87;Vista Alegre do Alto;2010/2011;Palmer;2000;7 x 4;2.34;57.1;NI;59.5;5.6;11;38;2.3;31;12;18;45.3;63.3;72;0.15;5.7;13;7.7;1;2;0;16.1;0.9;9.9;18.6;1.8;1.3;22;14;89;484;47
100;;Vista Alegre do Alto;2009/2010;Tommy;2001;7 x 5;0;54.2;I;58.9;5.9;18;18;1.7;26;6;15;33.7;48.7;69;0.06;12;21;16.8;0.4;2;0;10.2;1.4;13.9;19.9;2.1;1.2;37;13;37;299;16
219;;Vista Alegre do Alto;2010/2011;Palmer;1998;7 x 6;3.6;49.4;NI;58.7;5.4;12;19;2.5;26;10;19;38.5;57.5;67;0.08;16.5;14;15.5;0.9;4;0;12;0.6;7.6;17.5;2;1;15;11;77;503;14
148;91;Vista Alegre do Alto;2010/2011;Palmer;2003;7 x 6;2.7;55;NI;58;5.6;20;53;4.8;44;23;28;71.8;99.8;72;0.28;7.5;13;12.6;1.4;4;0;12.3;0.8;6.1;17.5;1.8;1;28;11;58;675;38
